epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.68955,3.53305,6.3004,2.0835,0,0,0,0,3.17346,5.30679,1.98475,9.09e-06,9.09e-06,9.09e-06
2,10.3818,4.03947,6.93392,2.31303,0,0,0,0,3.06608,5.28009,1.93521,2.45703e-05,2.45703e-05,2.45703e-05
3,14.9295,3.4408,5.65496,2.21181,0,0,0,0,2.9536,5.17768,1.87668,3.64509e-05,3.64509e-05,3.64509e-05
4,19.3836,2.91409,5.32984,1.95364,0.00048,0.02857,0.00045,0.00018,2.6812,5.08769,1.75372,4.47319e-05,4.47319e-05,4.47319e-05
5,23.882,3.60576,7.53115,1.98456,0.0015,0.07619,0.00469,0.00087,2.56634,4.95688,1.69118,4.94132e-05,4.94132e-05,4.94132e-05
6,28.3983,2.51985,5.1222,1.67193,0.00048,0.02857,0.00205,0.00123,2.40385,4.91565,1.61258,5.0495e-05,5.0495e-05,5.0495e-05
7,32.9262,2.40505,5.04916,1.66517,0.00098,0.05714,0.00995,0.00513,2.3045,4.81015,1.56856,4.7977e-05,4.7977e-05,4.7977e-05
8,37.4541,2.05225,4.90912,1.44541,0.00099,0.05714,0.03224,0.01851,2.1806,4.75733,1.50534,4.18595e-05,4.18595e-05,4.18595e-05
9,42.1023,2.28245,5.16678,1.43416,0.00099,0.05714,0.03224,0.01851,2.15446,4.7431,1.49476,3.21422e-05,3.21422e-05,3.21422e-05
10,46.5676,2.10922,4.72013,1.43617,0.00099,0.05714,0.03224,0.01809,2.14457,4.73059,1.49912,1.88254e-05,1.88254e-05,1.88254e-05
