epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,226.464,1.94933,2.70491,1.3041,0.94884,0.09524,0.12638,0.03889,2.07822,3.39231,1.52669,0.000448231,0.000448231,0.000448231
43,232.527,2.61325,3.06525,1.48342,0.94884,0.09524,0.12638,0.03889,2.07822,3.39231,1.52669,0.000451382,0.000451382,0.000451382
44,240.504,1.88306,2.70726,1.36818,0.7427,0.21905,0.26992,0.0849,1.99709,3.13146,1.49961,0.000454174,0.000454174,0.000454174
45,248.445,2.12845,2.83726,1.39607,0.7427,0.21905,0.26992,0.0849,1.99709,3.13146,1.49961,0.000456605,0.000456605,0.000456605
46,256.397,1.68735,2.7372,1.35855,0.77234,0.25583,0.33114,0.11799,1.87792,2.91258,1.42257,0.000458677,0.000458677,0.000458677
47,263.85,2.07411,2.9742,1.36873,0.77234,0.25583,0.33114,0.11799,1.87792,2.91258,1.42257,0.000460389,0.000460389,0.000460389
48,271.5,2.07297,2.84392,1.48942,0.9157,0.21396,0.34313,0.14177,1.84824,2.95758,1.39914,0.00046174,0.00046174,0.00046174
49,279.145,2.00647,3.88506,1.40793,0.9157,0.21396,0.34313,0.14177,1.84824,2.95758,1.39914,0.000462732,0.000462732,0.000462732
50,287.088,1.58245,2.67849,1.25106,0.90959,0.21902,0.34362,0.13287,1.82745,3.14772,1.40796,0.000463364,0.000463364,0.000463364
51,294.869,1.7445,3.31729,1.25545,0.90959,0.21902,0.34362,0.13287,1.82745,3.14772,1.40796,0.000459045,0.000459045,0.000459045
52,302.898,1.64351,2.54176,1.29781,0.92528,0.18918,0.32853,0.11006,1.854,3.21477,1.42517,0.000450046,0.000450046,0.000450046
53,310.821,1.67978,3.48827,1.44546,0.92528,0.18918,0.32853,0.11006,1.854,3.21477,1.42517,0.000441047,0.000441047,0.000441047
54,318.634,1.62546,2.89056,1.25191,0.73958,0.09524,0.23921,0.07713,2.01526,3.35801,1.49551,0.000432048,0.000432048,0.000432048
55,326.379,2.15158,3.81582,1.42107,0.73958,0.09524,0.23921,0.07713,2.01526,3.35801,1.49551,0.000423049,0.000423049,0.000423049
56,334.437,2.13974,2.77454,1.29645,0.7732,0.04762,0.17874,0.07197,2.01573,3.3576,1.52047,0.000414049,0.000414049,0.000414049
57,342.24,1.9522,2.83961,1.42046,0.7732,0.04762,0.17874,0.07197,2.01573,3.3576,1.52047,0.00040505,0.00040505,0.00040505
58,350.118,1.80239,2.53899,1.25163,0.8037,0.09524,0.19488,0.08426,2.00469,3.19241,1.52537,0.000396051,0.000396051,0.000396051
59,358.053,1.83642,2.62364,1.36922,0.8037,0.09524,0.19488,0.08426,2.00469,3.19241,1.52537,0.000387052,0.000387052,0.000387052
60,365.869,2.06652,2.44192,1.31957,0.85598,0.19048,0.24182,0.08595,1.9235,3.14095,1.47663,0.000378053,0.000378053,0.000378053
61,373.893,1.88734,3.48689,1.52399,0.85598,0.19048,0.24182,0.08595,1.9235,3.14095,1.47663,0.000369054,0.000369054,0.000369054
